AnimalID,Sex,Group,DOB,Age,mother_id,mother_rk,Rank_ord,mother_social,Survival,DOD,Age_Cat,Time,Age_entry,Age_event,Group_size,no_females,Maternal_social,Social_ord
3Y4,2,F,07/08/2017,0,5C0,3,1,8,0,,2,365,74,439,114,75,1.968506762,1
AA5,2,F,11/04/2016,0,04N,11,1,7,0,,2,365,320,685,114,75,1.471088386,1
I1861J,2,F,8/31/2017,0,61J,43,3,8,1,10/03/2017,2,33,20,53,114,75,1.968506762,1
AB1,2,F,8/31/2017,0,0A9,53,3,8,0,,2,365,20,385,114,75,1.968506762,1
2Y3,2,F,7/13/2017,0,29Z,62,3,9,0,,2,365,69,434,114,75,2.465925137,1
8X5,1,F,7/14/2017,0,2A2,69,3,7,0,,2,365,68,433,114,75,1.471088386,1
I188L3,1,KK,07/10/2017,0,8L3,2,1,12,1,11/15/2017,2,128,72,200,106,69,2.939818971,1
AE0,1,KK,06/05/2017,0,24V,3,1,7,0,,2,365,107,472,106,69,1.065151801,1
8Z6,1,KK,7/21/2017,0,2J7,5,1,10,0,,2,365,61,426,106,69,2.189952103,1
AG4,1,KK,6/18/2017,0,76J,9,1,10,0,,2,365,94,459,106,69,2.189952103,1
AE4,1,KK,7/19/2017,0,6C2,20,2,8,0,,2,365,63,428,106,69,1.440085235,1
AF3,2,KK,06/05/2017,0,6D9,23,2,8,0,,2,365,107,472,106,69,1.440085235,1
3Z4,1,KK,07/04/2017,0,6D4,36,3,7,0,,2,365,78,443,106,69,1.065151801,1
I180F0,1,V,08/04/2017,0,0F0,4,1,5,1,1/25/2018,2,174,47,221,111,50,1.658715436,1
I185L7,1,V,08/09/2017,0,5L7,28,3,5,1,11/03/2017,2,86,42,128,111,50,1.658715436,1
I1885T,2,V,8/14/2017,0,85T,47,3,5,0,11/29/2018,2,365,37,402,111,50,1.658715436,1
