Animal_ID,Sex,Survival,
00V,1,0,In CS
0F0,1,1,
0K0,1,1,
0M3,1,1,
0M4,1,0,In CS
13H,1,1,
14E,1,0,Died after
15E,1,1,
1B0,1,0,In CS
1G0,1,0,In CS
1G1,1,0,In CS
1G4,1,0,In CS
1G6,1,1,
1I5,1,0,In CS
1I6,1,0,In CS
1I7,1,0,In CS
1K1,1,0,In CS
1K2,1,0,Died after
2 E4,1,0,In CS
2G2,1,0,In CS
2G3,1,0,In CS
2G4,1,0,Died after
2I3,1,0,In CS
2K1,1,0,In CS
3D9,1,0,In CS
3H0,1,0,In CS
47Z,1,1,
4C5,1,0,In CS
4C9,1,0,Died after
4J4,1,0,In CS
5 E8,1,0,In CS
51Z,1,0,In CS
52Z,1,0,In CS
53Z,1,0,Died after
5L7,1,0,In CS
5L8,1,1,
78I,1,0,In CS
7C4,1,0,In CS
7K8,1,0,In CS
85T,1,0,Died after
9 E8,1,1,
90T,1,0,In CS
93T,1,0,In CS
98J,1,1,
9C1,1,0,In CS
0G1,2,0,In CS
0I9,2,0,removed
0J4,2,0,In CS
0M1,2,0,In CS
12O,2,0,In CS
19T,2,0,In CS
1F2,2,0,In CS
25R,2,1,
2F8,2,1,
2K0,2,0,removed
2K3,2,0,In CS
2K4,2,0,In CS
2K5,2,0,In CS
2K6,2,0,removed
32Z,2,0,In CS
33T,2,0,In CS
36V,2,0,In CS
3I5,2,0,In CS
3I6,2,0,removed
3I9,2,0,In CS
3J7,2,1,
3K1,2,0,removed
4 E2,2,0,In CS
4G6,2,0,In CS
4G8,2,0,In CS
4K7,2,0,In CS
5 E2,2,0,removed
5 E6,2,0,Died after
51A,2,1,
5B0,2,0,In CS
5L4,2,0,In CS
61R,2,0,In CS
6B8,2,0,In CS
77I,2,0,In CS
7G1,2,0,In CS
81O,2,0,In CS
8J3,2,0,In CS
8K1,2,0,In CS
9I9,2,1,
9K9,2,0,In CS
